x,y,Umbilicaria_decussata cloglog values
-1843636.30888502,735275.223204422,0.6680364
-1849600.13369271,734923.707480981,0.6387183
-1824322.31380591,915125.391132192,0.43904856
-1900701.59319288,757149.674942628,0.70196813
-1831378.57926922,925541.658836521,0.46006393
-1842435.54264249,953868.732070356,0.89738286
-1839787.71302744,975186.625496042,0.95857215
-1840544.78595043,991030.017111752,0.9330671
-1947951.1345343,768103.935955436,0.68566585
-1954909.48914638,768210.627476445,0.6587059
-1953398.84069274,774227.707190746,0.6814307
-1969473.51134159,967611.447954828,0.5510918
-1998320.11935183,956645.643063267,0.4248127
-1432436.10393814,532517.019414768,0.1981521
-1432638.45788539,532257.298143361,0.1981521
-1435320.22391726,539972.909426751,0.22435547
-1442897.62846964,547969.9555353,0.22290292
-1447409.09871676,548767.167208613,0.20675522
-1476873.41232515,489863.952456931,0.16563511
-1519355.57878751,474706.796747827,0.15849143
-1533585.28063713,482150.457196872,0.100756906
-1518207.56563236,565219.661721767,0.13734044
-1511121.92440745,590283.847155256,0.12630273
-1550537.1587497,485198.684264048,0.09597689
-2211031.95821039,1029277.26192909,0.776592
-2277068.01772189,902519.18509296,0.47699493
-2524400.3517855,1289211.20212553,0.1212328
-2638160.29845032,1588728.30762292,0.07437777
-2630217.95910114,1624601.58210426,0.23278522
-2504774.95848793,1216680.1906665,0.3514905
-2649990.41394982,1466870.72188996,0.11833864
-1952193.54336681,772159.646010498,0.6814307
-2504774.95848793,1216680.1906665,0.3514905
-2649990.41394982,1466870.72188996,0.11833864
-2440113.50676156,1498234.09158088,0.5546082
-2426692.98647384,1536185.03094775,0.6429532
-2431385.37460231,1530531.91682678,0.63435024
-2426341.62642855,1543964.64402466,0.62736934
-2437962.13598144,1533674.58662883,0.53699845
-2429739.20693984,1546836.91034594,0.62296796
-2443122.76353586,1536655.01720342,0.5412203
-2143900.93329888,892825.06500012,0.77323174
-2196790.82032094,926671.079541102,0.7398689
-2198927.55336252,926339.852483104,0.73410904
-2199427.28563246,927636.263684734,0.73410904
-2205508.1238483,934771.498940679,0.6871938
-2223027.20530667,953381.348644959,0.72326875
-2268927.17762605,939203.884285848,0.75790167
-2290888.66413929,918253.475245578,0.5886983
-2337873.14159047,1176819.68942824,0.52602595
-2350267.73627201,1213337.4114623,0.5597511
-2524400.3517855,1289211.20212553,0.1212328
-2428094.60530231,1555591.34174238,0.645159
-2604271.68776354,1465251.46901134,0.20282294
-2603530.43022203,1472226.33313733,0.32653317
-1826512.18964141,717648.653704541,0.6726215
-1843636.30888502,735275.223204422,0.6680364
-1843680.22402054,735336.374529054,0.6680364
-1846557.25233729,735384.34004901,0.6307283
-1847595.3863737,733843.385423353,0.6307283
-1900701.59319288,757149.674942628,0.70196813
-1828899.92587262,921148.638930652,0.28888255
-1934025.36166841,766906.449225938,0.6960823
-1949224.04930137,774848.830759623,0.6824626
-1952193.54336681,772159.646010498,0.6814307
-1953398.84069274,774227.707190746,0.6814307
-1958711.79475523,771251.849692624,0.7194942
-2003730.89476826,1016540.14871756,0.8924424
-2006918.4862261,1018182.83420008,0.83877444
-2061116.57727265,988885.155568707,0.6786666
-1513675.62442383,561817.300563166,0.1390397
-1531401.33384817,525044.585218816,0.1377683
-2504774.95848793,1216680.1906665,0.3514905
-1518981.45310176,475407.718359401,0.18637127
-1521123.50929332,474202.168929626,0.15849143
-2381960.90576301,1529642.63503706,0.95206356
-2450244.04831176,1538227.31401208,0.4904693
-2466554.81248622,1590975.0322166,0.7345144
-2476097.67218783,1577083.68015131,0.5736645
-2464291.43968807,1599107.48879386,0.81896585
-2442689.87437761,1661115.64464722,0.62760097
-2277068.01772189,902519.18509296,0.47699493
-2285926.96358424,891934.716240996,0.7038931
-2290073.84320192,905614.335817293,0.6126921
-2276132.97823141,945929.629352642,0.71028
-2290888.66413929,918253.475245578,0.5886983
-2428339.5132885,1154894.85972534,0.42057988
-2449434.10963524,1186664.35187042,0.26729327
-2453029.60954493,1190328.37000344,0.33803836
-2466487.3166294,1196668.83529232,0.31847143
-2503551.0216109,1218525.47002202,0.3514905
-2504774.95848793,1216680.1906665,0.3514905
-2515621.52500196,1211526.77893387,0.3868035
-2513957.05275252,1324100.82548781,0.24976853
-2500032.15726159,1389567.25276843,0.46869472
-2545237.59808135,1321847.80035175,0.18353496
-2604271.68776354,1465251.46901134,0.20282294
-2607587.71966267,1461515.21524767,0.16873004
-2608634.42311897,1462098.88580244,0.17493786
-2645529.55362801,1452606.88258285,0.19801255
-2648500.16999791,1461067.71910527,0.07707977
-2648491.47089057,1462863.16547308,0.09401532
-2651421.07832981,1461882.42450565,0.07122063
-2651624.69958499,1464983.36173534,0.11833864
-2651621.60590745,1466721.82541937,0.11833864
-2652629.9463987,1465538.74570681,0.11833864
-2627427.70878412,1531313.25936755,0.30108687
-2629427.25594084,1540849.75544135,0.2759252
-2649344.52964631,1508358.82544896,0.06105125
-2635675.63774182,1568419.75396543,0.06744491
-2629291.85993771,1594350.95432252,0.23536141
-2635561.89938684,1584857.74699933,0.090660505
-2638160.29845032,1588728.30762292,0.07437777
-2639659.80886563,1589204.4643681,0.07437777
-2637365.09347811,1593612.76585596,0.10637511
-2627913.74769357,1610602.12776021,0.26293528
-2628706.73933532,1612447.90796136,0.2911977
-2621368.94232242,1629399.54058098,0.31527293
-2629816.05657997,1618367.1846664,0.16582265
-2635673.498446,1621432.7671627,0.19545199
-2636355.25295379,1621284.55695559,0.19545199
-2619468.66640445,1824174.00120961,0.22855648
-1952193.54336681,772159.646010498,0.6814307
-1953398.84069274,774227.707190746,0.6814307
-2149428.99057318,565434.123810298,0.4746236
-2149417.60537442,565816.206393399,0.4746236
-1995129.70381721,1012707.27824026,0.8895682
-1550537.1587497,485198.684264048,0.09597689
-2437962.13598144,1533674.58662883,0.53699845
-2437947.97048564,1186342.61404601,0.40726137
-2453029.60954493,1190328.37000344,0.33803836
-2502744.1847028,1294529.73191326,0.26756766
-2428094.60530231,1555591.34174238,0.645159
-2649990.41394982,1466870.72188996,0.11833864
-2631564.11727811,1817234.83115069,0.15353505
-2381876.45820721,1528961.39931374,0.95206356
-2442288.273793,1502914.76329392,0.5719377
-2439724.05614115,1509747.05595271,0.595849
-2441383.586008,1511557.8483439,0.5880487
-2426692.98647384,1536185.03094775,0.6429532
-2429739.20693984,1546836.91034594,0.62296796
-2440565.63312605,1532151.34676087,0.54935247
-2445940.10128623,1534335.33308777,0.5131057
-2465962.32168873,1599836.41366826,0.81896585
-2465624.88991117,1601617.71226252,0.8454915
-2143900.93329888,892825.06500012,0.77323174
-2214972.26818934,930253.07422458,0.9661459
-2245507.80580756,943984.056104864,0.7297369
-2280543.88314427,880542.018061145,0.56816
-2277068.01772189,902519.18509296,0.47699493
