x,y,Usnea_antarctica cloglog values
-2440565.63312605,1532151.34676087,0.16532251
-2428094.60530231,1555591.34174238,0.12443535
-2452603.47920882,1597397.82862471,0.7368451
-2604271.68776354,1465251.46901134,0.69389784
-2603496.23730889,1468791.26578778,0.7616756
-2607033.10718496,1470696.05660424,0.70804465
-2609261.00927066,1470243.0187208,0.69131273
-2638160.29845032,1588728.30762292,0.30953982
-1440614.72697308,526282.246945053,0.0010062046
-2290073.84320192,905614.335817293,0.55431783
-2428094.60530231,1555591.34174238,0.12443535
-2638160.29845032,1588728.30762292,0.30953982
-1826512.18964141,717648.653704541,0.11123771
-1994531.57004867,1032944.10395713,0.0113302255
-1476873.41232515,489863.952456931,0.0037281858
-1519355.57878751,474706.796747827,0.0056547495
-2449554.26791728,1186789.07680171,0.5834241
-2290888.66413929,918253.475245578,0.6300237
-2453029.60954493,1190328.37000344,0.5472053
-2629291.85993771,1594350.95432252,0.29682645
-2638160.29845032,1588728.30762292,0.30953982
-2619468.66640445,1824174.00120961,0.521178
-2149428.99057318,565434.123810298,0.29944703
-2638160.29845032,1588728.30762292,0.30953982
-2623592.19618942,1610867.63855787,0.56141156
-2638160.29845032,1588728.30762292,0.30953982
-2465624.88991117,1601617.71226252,0.7293219
-2277068.01772189,902519.18509296,0.69048125
-2290073.84320192,905614.335817293,0.55431783
-2273352.98975803,964981.092507093,0.7372498
-2428339.5132885,1154894.85972534,0.58869964
-2437947.97048564,1186342.61404601,0.55513924
-2453029.60954493,1190328.37000344,0.5472053
-2466487.3166294,1196668.83529232,0.5009757
-2468397.1623629,1219210.70007949,0.74940085
-2503551.0216109,1218525.47002202,0.6440998
-2515621.52500196,1211526.77893387,0.6313419
-2484666.13751694,1372600.85885939,0.6445517
-2629291.85993771,1594350.95432252,0.29682645
-2149428.99057318,565434.123810298,0.29944703
-2276694.71128246,903329.086350651,0.69048125
-2290073.84320192,905614.335817293,0.55431783
-2629291.85993771,1594350.95432252,0.29682645
-2629291.85993771,1594350.95432252,0.29682645
-2642487.90527909,1548050.44585207,0.5670774
-2638160.29845032,1588728.30762292,0.30953982
-2639659.80886563,1589204.4643681,0.30953982
-2627422.61051007,1611865.34278683,0.5072303
-2449434.10963524,1186664.35187042,0.5834241
-2504774.95848793,1216680.1906665,0.6440998
-2649990.41394982,1466870.72188996,0.5073991
-2624447.39080998,1610543.2480153,0.56141156
-2621368.94232242,1629399.54058098,0.9999996
-2318538.36125287,1117231.47850955,0.53840816
-1849856.55777235,734278.030476415,0.09681572
-2629291.85993771,1594350.95432252,0.29682645
-2638160.29845032,1588728.30762292,0.30953982
-1843636.30888502,735275.223204422,0.19235128
-1849600.13369271,734923.707480981,0.09681572
-1824322.31380591,915125.391132192,0.0032432817
-1900701.59319288,757149.674942628,0.15985575
-1831378.57926922,925541.658836521,0.003379387
-1842435.54264249,953868.732070356,0.0033711516
-1839787.71302744,975186.625496042,4.565702E-4
-1840544.78595043,991030.017111752,4.947859E-4
-1947951.1345343,768103.935955436,0.14637777
-1954909.48914638,768210.627476445,0.14500186
-1953398.84069274,774227.707190746,0.16537179
-1969473.51134159,967611.447954828,0.030519651
-1998320.11935183,956645.643063267,0.064192526
-1432436.10393814,532517.019414768,7.580425E-4
-1432638.45788539,532257.298143361,7.580425E-4
-1435320.22391726,539972.909426751,6.7478884E-4
-1442897.62846964,547969.9555353,6.335025E-4
-1447409.09871676,548767.167208613,7.7778526E-4
-1476873.41232515,489863.952456931,0.0037281858
-1519355.57878751,474706.796747827,0.0056547495
-1533585.28063713,482150.457196872,0.0060652685
-1518207.56563236,565219.661721767,0.0015116298
-1511121.92440745,590283.847155256,8.7167765E-4
-1550537.1587497,485198.684264048,0.00900135
-2211031.95821039,1029277.26192909,0.4337297
-2277068.01772189,902519.18509296,0.69048125
-2524400.3517855,1289211.20212553,0.26737383
-2638160.29845032,1588728.30762292,0.30953982
-2630217.95910114,1624601.58210426,0.58801335
-2504774.95848793,1216680.1906665,0.6440998
-2649990.41394982,1466870.72188996,0.5073991
-1952193.54336681,772159.646010498,0.16537179
-2504774.95848793,1216680.1906665,0.6440998
-2649990.41394982,1466870.72188996,0.5073991
-2440113.50676156,1498234.09158088,0.28791016
-2426692.98647384,1536185.03094775,0.1054893
-2431385.37460231,1530531.91682678,0.2253631
-2426341.62642855,1543964.64402466,0.10017932
-2437962.13598144,1533674.58662883,0.24681541
-2429739.20693984,1546836.91034594,0.13144904
-2443122.76353586,1536655.01720342,0.1763319
-2143900.93329888,892825.06500012,0.338877
-2196790.82032094,926671.079541102,0.33907443
-2198927.55336252,926339.852483104,0.3738855
-2199427.28563246,927636.263684734,0.3738855
-2205508.1238483,934771.498940679,0.42654413
-2223027.20530667,953381.348644959,0.4105974
-2268927.17762605,939203.884285848,0.4614766
-2290888.66413929,918253.475245578,0.6300237
-2337873.14159047,1176819.68942824,0.5336409
-2350267.73627201,1213337.4114623,0.31061655
-2524400.3517855,1289211.20212553,0.26737383
-2428094.60530231,1555591.34174238,0.12443535
-2604271.68776354,1465251.46901134,0.69389784
-2603530.43022203,1472226.33313733,0.7044812
-1826512.18964141,717648.653704541,0.11123771
-1843636.30888502,735275.223204422,0.19235128
-1843680.22402054,735336.374529054,0.19235128
-1846557.25233729,735384.34004901,0.10979053
-1847595.3863737,733843.385423353,0.10979053
-1900701.59319288,757149.674942628,0.15985575
-1828899.92587262,921148.638930652,6.3991984E-6
-1934025.36166841,766906.449225938,0.18344736
-1949224.04930137,774848.830759623,0.2065542
-1952193.54336681,772159.646010498,0.16537179
-1953398.84069274,774227.707190746,0.16537179
-1958711.79475523,771251.849692624,0.1848817
-2003730.89476826,1016540.14871756,0.039526667
-2006918.4862261,1018182.83420008,0.021709755
-2061116.57727265,988885.155568707,0.13905941
-1513675.62442383,561817.300563166,0.001644961
-1531401.33384817,525044.585218816,0.005625539
-2504774.95848793,1216680.1906665,0.6440998
-1518981.45310176,475407.718359401,0.0068630143
-1521123.50929332,474202.168929626,0.0056547495
-2381960.90576301,1529642.63503706,0.23519513
-2450244.04831176,1538227.31401208,0.2879606
-2466554.81248622,1590975.0322166,0.4086506
-2476097.67218783,1577083.68015131,0.30390456
-2464291.43968807,1599107.48879386,0.57381415
-2442689.87437761,1661115.64464722,0.6179104
-2277068.01772189,902519.18509296,0.69048125
-2285926.96358424,891934.716240996,0.58408374
-2290073.84320192,905614.335817293,0.55431783
-2276132.97823141,945929.629352642,0.47449932
-2290888.66413929,918253.475245578,0.6300237
-2428339.5132885,1154894.85972534,0.58869964
-2449434.10963524,1186664.35187042,0.5834241
-2453029.60954493,1190328.37000344,0.5472053
-2466487.3166294,1196668.83529232,0.5009757
-2503551.0216109,1218525.47002202,0.6440998
-2504774.95848793,1216680.1906665,0.6440998
-2515621.52500196,1211526.77893387,0.6313419
-2513957.05275252,1324100.82548781,0.7008934
-2500032.15726159,1389567.25276843,0.67698795
-2545237.59808135,1321847.80035175,0.6363581
-2604271.68776354,1465251.46901134,0.69389784
-2607587.71966267,1461515.21524767,0.5900423
-2608634.42311897,1462098.88580244,0.6103999
-2645529.55362801,1452606.88258285,0.55428386
-2648500.16999791,1461067.71910527,0.3989073
-2648491.47089057,1462863.16547308,0.44166583
-2651421.07832981,1461882.42450565,0.38692713
-2651624.69958499,1464983.36173534,0.5073991
-2651621.60590745,1466721.82541937,0.5073991
-2652629.9463987,1465538.74570681,0.5073991
-2627427.70878412,1531313.25936755,0.6351896
-2629427.25594084,1540849.75544135,0.62396157
-2649344.52964631,1508358.82544896,0.27593577
-2635675.63774182,1568419.75396543,0.38817123
-2629291.85993771,1594350.95432252,0.29682645
-2635561.89938684,1584857.74699933,0.44016698
-2638160.29845032,1588728.30762292,0.30953982
-2639659.80886563,1589204.4643681,0.30953982
-2637365.09347811,1593612.76585596,0.3496012
-2627913.74769357,1610602.12776021,0.5072303
-2628706.73933532,1612447.90796136,0.9100789
-2621368.94232242,1629399.54058098,0.9999996
-2629816.05657997,1618367.1846664,0.46191022
-2635673.498446,1621432.7671627,0.54994935
-2636355.25295379,1621284.55695559,0.54994935
-2619468.66640445,1824174.00120961,0.521178
-1952193.54336681,772159.646010498,0.16537179
-1953398.84069274,774227.707190746,0.16537179
-2149428.99057318,565434.123810298,0.29944703
-2149417.60537442,565816.206393399,0.29944703
-1995129.70381721,1012707.27824026,0.03754762
-1550537.1587497,485198.684264048,0.00900135
-2437962.13598144,1533674.58662883,0.24681541
-2437947.97048564,1186342.61404601,0.55513924
-2453029.60954493,1190328.37000344,0.5472053
-2502744.1847028,1294529.73191326,0.8014751
-2428094.60530231,1555591.34174238,0.12443535
-2649990.41394982,1466870.72188996,0.5073991
-2631564.11727811,1817234.83115069,0.37270945
-2381876.45820721,1528961.39931374,0.23519513
-2442288.273793,1502914.76329392,0.23987025
-2439724.05614115,1509747.05595271,0.21060519
-2441383.586008,1511557.8483439,0.2082627
-2426692.98647384,1536185.03094775,0.1054893
-2429739.20693984,1546836.91034594,0.13144904
-2440565.63312605,1532151.34676087,0.16532251
-2445940.10128623,1534335.33308777,0.23003417
-2465962.32168873,1599836.41366826,0.57381415
-2465624.88991117,1601617.71226252,0.7293219
-2143900.93329888,892825.06500012,0.338877
-2214972.26818934,930253.07422458,0.6869314
-2245507.80580756,943984.056104864,0.39251053
-2280543.88314427,880542.018061145,0.6756239
-2277068.01772189,902519.18509296,0.69048125
-2285926.96358424,891934.716240996,0.58408374
-2290073.84320192,905614.335817293,0.55431783
-2290888.66413929,918253.475245578,0.6300237
-2310889.20283209,918990.852538654,0.58450824
-2332226.42228327,1192441.67155438,0.5033559
-2437947.97048564,1186342.61404601,0.55513924
-2453029.60954493,1190328.37000344,0.5472053
-2466487.3166294,1196668.83529232,0.5009757
-2466872.10042162,1265288.1997946,0.8935356
-2503551.0216109,1218525.47002202,0.6440998
-2504774.95848793,1216680.1906665,0.6440998
