"species","x","y","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19"
"Umbilicaria decussata",-2425869.99450772,1424137.45995515,-6.38973426818848,4.75695657730103,28.9752597808838,436.138122558594,1.18185567855835,-15.2354393005371,16.417293548584,-11.2338256835938,-1.77386081218719,-1.20230841636658,-12.016900062561,317.217010498047,40.0419425964355,5.86023283004761,41.8322067260742,110.479766845703,32.8841094970703,39.0151062011719,95.0751113891602
"Umbilicaria decussata",-2373746.05582349,1539364.38301671,-7.55354738235474,6.60505104064941,32.2818908691406,547.089416503906,1.82302534580231,-18.6395092010498,20.4625339508057,-13.48681640625,-6.71994256973267,-0.850933432579041,-14.194411277771,131.967010498047,33.285228729248,3.28522682189941,75.9646911621094,53.0927543640137,16.311351776123,39.7943382263184,52.270866394043
"Umbilicaria decussata",-2373126.50386733,1542304.36752783,-7.17159938812256,6.59687852859497,32.9797477722168,532.4150390625,1.95528376102448,-18.0628051757812,20.0180892944336,-9.58133983612061,-7.61113595962524,-0.631822645664215,-13.5910301208496,131.337310791016,33.0851097106934,2.29309296607971,81.2628631591797,53.6566505432129,15.1687793731689,46.2346725463867,48.4150924682617
"Umbilicaria decussata",-2391146.01774783,1533321.04209017,-7.21649217605591,6.47223138809204,32.8186721801758,515.489013671875,1.96317315101624,-17.757755279541,19.7209281921387,-12.5068435668945,-10.9868125915527,-0.888780534267426,-13.4825172424316,214.265258789062,37.5783386230469,6.96156311035156,45.8786163330078,74.5086059570312,38.740795135498,59.3754119873047,68.1937561035156
"Umbilicaria decussata",-2445421.3658215,1457127.45448814,-6.61210298538208,4.7921667098999,30.1007709503174,416.222412109375,0.657407462596893,-15.2631149291992,15.920521736145,-11.2038326263428,-2.22129011154175,-1.64985287189484,-11.960132598877,327.503784179688,40.5691413879395,5.24825429916382,40.5796241760254,113.112579345703,37.8562660217285,39.8562660217285,98.5769958496094
"Umbilicaria decussata",-2437066.58042634,1474103.51038016,-5.66912984848022,4.93811082839966,30.0421600341797,430.325836181641,1.83542680740356,-14.6018800735474,16.4373073577881,-10.3726263046265,-1.10325145721436,-0.507980942726135,-11.1368350982666,355.744293212891,42,9.41894626617432,36.4481544494629,121.079170227051,46.4918365478516,48.0290031433105,104.002319335938
"Umbilicaria decussata",-2456913.79421353,1494367.98906464,-6.03598690032959,4.97558689117432,30.8551063537598,415.083343505859,1.3550181388855,-14.7708253860474,16.1258430480957,-10.5761651992798,-1.64729011058807,-1.01939404010773,-11.2908039093018,377.446807861328,45.1003112792969,7.52266693115234,38.6356239318848,128.662826538086,46.1696357727051,46.1951332092285,110.661590576172
"Umbilicaria decussata",-2429739.20693984,1546836.91034594,-6.20161008834839,6.24288654327393,33.415397644043,481.328704833984,2.55196785926819,-16.1306266784668,18.6825942993164,-11.1996469497681,-0.728860020637512,-0.304750919342041,-12.0603847503662,362.138244628906,46,18.5862789154053,25.3611602783203,117.79313659668,73.1725540161133,73.1725540161133,105.586280822754
"Umbilicaria decussata",-2439541.85916477,1537641.39117453,-5.50382804870605,5.90552186965942,33.1272583007812,452.402313232422,2.87352752685547,-14.9535245895386,17.8270511627197,-10.2710952758789,0.0346181020140648,0.0346181020140648,-11.0446968078613,430.802032470703,50,20.8020305633545,25.0869064331055,137.697296142578,78.8084487915039,78.8084487915039,118.09831237793
"Umbilicaria decussata",-2443122.76353586,1536655.01720342,-6.43289947509766,5.7619423866272,33.2818832397461,441.772827148438,1.59717202186584,-15.7165870666504,17.3137588500977,-11.1120185852051,-1.14539897441864,-1.04572033882141,-11.8756895065308,420.542907714844,48.3152847290039,21.6571884155273,24.6221294403076,134.472930908203,82.1189422607422,82.1220550537109,114.835784912109
