x,y,Acarospora_gwynnii cloglog values
-2484666.13751694,1372600.85885939,0.12138955
-2629291.85993771,1594350.95432252,0.008575621
-2149428.99057318,565434.123810298,0.15478586
-2276694.71128246,903329.086350651,0.029048422
-2290073.84320192,905614.335817293,0.121734716
-2629291.85993771,1594350.95432252,0.008575621
-2629291.85993771,1594350.95432252,0.008575621
-2642487.90527909,1548050.44585207,0.013130524
-2638160.29845032,1588728.30762292,0.013334746
-2639659.80886563,1589204.4643681,0.013334746
-2627422.61051007,1611865.34278683,0.023387277
-2449434.10963524,1186664.35187042,0.021501733
-2504774.95848793,1216680.1906665,0.027973212
-2649990.41394982,1466870.72188996,0.01593421
-2624447.39080998,1610543.2480153,0.023965077
-2621368.94232242,1629399.54058098,0.022042414
-2318538.36125287,1117231.47850955,0.27136478
-1849856.55777235,734278.030476415,0.46929103
-2629291.85993771,1594350.95432252,0.008575621
-2638160.29845032,1588728.30762292,0.013334746
-1843636.30888502,735275.223204422,0.3429104
-1849600.13369271,734923.707480981,0.46929103
-1824322.31380591,915125.391132192,0.9747237
-1900701.59319288,757149.674942628,0.37471294
-1831378.57926922,925541.658836521,0.97987455
-1842435.54264249,953868.732070356,0.9499104
-1839787.71302744,975186.625496042,0.9594186
-1840544.78595043,991030.017111752,0.97085977
-1947951.1345343,768103.935955436,0.4073236
-1954909.48914638,768210.627476445,0.4267766
-1953398.84069274,774227.707190746,0.32106397
-1969473.51134159,967611.447954828,0.7709752
-1998320.11935183,956645.643063267,0.69444525
-1432436.10393814,532517.019414768,0.9627236
-1432638.45788539,532257.298143361,0.9627236
-1435320.22391726,539972.909426751,0.96137285
-1442897.62846964,547969.9555353,0.966493
-1447409.09871676,548767.167208613,0.96477795
-1476873.41232515,489863.952456931,0.8205199
-1519355.57878751,474706.796747827,0.75351274
-1533585.28063713,482150.457196872,0.74841356
-1518207.56563236,565219.661721767,0.9451461
-1511121.92440745,590283.847155256,0.961883
-1550537.1587497,485198.684264048,0.71094954
-2211031.95821039,1029277.26192909,0.012710095
-2277068.01772189,902519.18509296,0.029048422
-2524400.3517855,1289211.20212553,0.16353704
-2638160.29845032,1588728.30762292,0.013334746
-2630217.95910114,1624601.58210426,0.024804711
-2504774.95848793,1216680.1906665,0.027973212
-2649990.41394982,1466870.72188996,0.01593421
-1952193.54336681,772159.646010498,0.32106397
-2504774.95848793,1216680.1906665,0.027973212
-2649990.41394982,1466870.72188996,0.01593421
-2440113.50676156,1498234.09158088,0.2747559
-2426692.98647384,1536185.03094775,0.29702273
-2431385.37460231,1530531.91682678,0.28403717
-2426341.62642855,1543964.64402466,0.28619343
-2437962.13598144,1533674.58662883,0.24291687
-2429739.20693984,1546836.91034594,0.29273775
-2443122.76353586,1536655.01720342,0.24889545
-2143900.93329888,892825.06500012,0.2019055
-2196790.82032094,926671.079541102,0.17683573
-2198927.55336252,926339.852483104,0.13416333
-2199427.28563246,927636.263684734,0.13416333
-2205508.1238483,934771.498940679,0.078840554
-2223027.20530667,953381.348644959,0.25168005
-2268927.17762605,939203.884285848,0.25602946
-2290888.66413929,918253.475245578,0.08918529
-2337873.14159047,1176819.68942824,0.16439147
-2350267.73627201,1213337.4114623,0.30958515
-2524400.3517855,1289211.20212553,0.16353704
-2428094.60530231,1555591.34174238,0.28998718
-2604271.68776354,1465251.46901134,0.021912279
-2603530.43022203,1472226.33313733,0.03395691
-1826512.18964141,717648.653704541,0.45058888
-1843636.30888502,735275.223204422,0.3429104
-1843680.22402054,735336.374529054,0.3429104
-1846557.25233729,735384.34004901,0.45864162
-1847595.3863737,733843.385423353,0.45864162
-1900701.59319288,757149.674942628,0.37471294
-1828899.92587262,921148.638930652,0.99652404
-1934025.36166841,766906.449225938,0.3305015
-1949224.04930137,774848.830759623,0.28795123
-1952193.54336681,772159.646010498,0.32106397
-1953398.84069274,774227.707190746,0.32106397
-1958711.79475523,771251.849692624,0.3412073
-2003730.89476826,1016540.14871756,0.6288736
-2006918.4862261,1018182.83420008,0.62596256
-2061116.57727265,988885.155568707,0.51792467
-1513675.62442383,561817.300563166,0.94324964
-1531401.33384817,525044.585218816,0.84653807
-2504774.95848793,1216680.1906665,0.027973212
-1518981.45310176,475407.718359401,0.7418069
-1521123.50929332,474202.168929626,0.75351274
-2381960.90576301,1529642.63503706,0.38288137
-2450244.04831176,1538227.31401208,0.23114727
-2466554.81248622,1590975.0322166,0.17736325
-2476097.67218783,1577083.68015131,0.20165983
-2464291.43968807,1599107.48879386,0.13730694
-2442689.87437761,1661115.64464722,0.045309935
-2277068.01772189,902519.18509296,0.029048422
-2285926.96358424,891934.716240996,0.16689204
